when,instance,improved,change,%,new_bks,prev_bks,who,beaten,prev_when,after_days
2020-12-11,lr2_8_2,distance,-17.9381,-0.0489,36628.3947,36646.3328,HW,SCR,2019-11-06,401
2020-12-11,lr2_8_3,distance,-46.5764,-0.1759,26426.294,26472.8704,HW,SCR,2020-12-02,9
2020-12-11,lr2_8_4,distance,-7.205,-0.0348,20677.8868,20685.0918,HW,HW,2020-12-08,3
2020-12-11,lr2_8_6,distance,-3.411,-0.0118,28981.7744,28985.1854,HW,HW,2020-12-01,10
2020-12-11,lr2_10_1,distance,-90.8538,-0.144,63017.9679,63108.8217,HW,HW,2020-12-08,3
2020-12-11,lr2_10_7,distance,-18.0687,-0.0449,40193.8061,40211.8748,HW,HW,2020-12-01,10
2020-12-11,lr2_10_10,distance,-19.5505,-0.0423,46190.8156,46210.3661,HW,HW,2020-12-03,8
2020-12-11,lrc1_10_7,distance,-168.0691,-0.4028,41560.5569,41728.626,HW,HW,2020-12-01,10
2020-12-11,lrc1_10_8,distance,-57.9288,-0.1397,41396.3868,41454.3156,HW,HW,2020-12-01,10
2020-12-11,lrc2_10_2,distance,-35.2058,-0.0911,38619.1328,38654.3386,HW,HW,2020-12-08,3
2020-12-11,lrc2_10_3,distance,-94.9089,-0.3475,27218.1914,27313.1003,HW,SCR,2020-03-04,282
2020-12-11,lrc2_10_10,distance,-87.8381,-0.3009,29107.1306,29194.9687,HW,HW,2020-12-01,10
2020-12-08,lrc2_6_5,distance,-3.615,-0.0251,14380.3652,14383.9802,HW,SCR,2020-12-02,6
2020-12-08,lr1_8_8,distance,-11.9046,-0.0567,20984.0737,20995.9783,HW,SCR,2020-12-02,6
2020-12-08,lr2_8_4,distance,-427.7361,-2.026,20685.0918,21112.8279,HW,SCR,2020-12-02,6
2020-12-08,lr1_10_7,distance,-6.0426,-0.0156,38747.1952,38753.2378,HW,SCR,2020-12-02,6
2020-12-08,lr2_10_1,distance,-209.3919,-0.3307,63108.8217,63318.2136,HW,WM,2019-11-28,376
2020-12-08,lr2_10_4,distance,-0.4015,-0.0015,26597.6545,26598.056,HW,SCR,2020-12-02,6
2020-12-08,lr2_10_8,distance,-0.6616,-0.0025,26749.7107,26750.3723,HW,SCR,2020-12-02,6
2020-12-08,lrc2_10_2,distance,-139.0002,-0.3583,38654.3386,38793.3388,HW,SCR,2020-12-02,6
2020-12-03,lrc2_6_7,distance,-29.0807,-0.2059,14094.2635,14123.3442,HW,SCR,2020-12-02,1
2020-12-03,lrc2_8_9,distance,-98.9998,-0.4326,22785.1703,22884.1701,HW,HW,2020-12-01,2
2020-12-03,lrc2_8_10,distance,-1.1948,-0.0061,19706.2394,19707.4342,HW,HW,2020-12-01,2
2020-12-03,lr2_10_10,distance,-391.8996,-0.8409,46210.3661,46602.2657,HW,SCR,2019-11-06,393
2020-12-02,lr2_4_7,distance,-29.9567,-0.3734,7993.158,8023.1147,SCR,CAINIAO,2020-05-08,208
2020-12-02,lr2_4_8,distance,-4.9181,-0.0934,5260.4193,5265.3374,SCR,HW,2020-12-01,1
2020-12-02,lc1_6_4,distance,-16.3665,-0.1229,13305.0865,13321.453,SCR,SCR,2019-06-01,550
2020-12-02,lc2_6_3,distance,-11.0737,-0.1299,8512.9414,8524.0151,SCR,SCR,2019-11-06,392
2020-12-02,lr1_6_5,distance,-158.464,-0.6604,23835.8924,23994.3564,SCR,SCR,2019-11-06,392
2020-12-02,lr1_6_7,distance,-5.6578,-0.0331,17110.5843,17116.2421,SCR,SCR,2020-01-21,316
2020-12-02,lr2_6_5,distance,-92.2749,-0.3962,23199.8964,23292.1713,SCR,CAINIAO,2020-04-15,231
2020-12-02,lr2_6_6,distance,-0.4855,-0.0025,19099.489,19099.9745,SCR,SCR,2020-01-21,316
2020-12-02,lr2_6_8,distance,-45.3187,-0.3623,12463.8457,12509.1644,SCR,Shobb,2019-08-08,482
2020-12-02,lrc2_6_5,distance,-4.8502,-0.0337,14383.9802,14388.8304,SCR,HW,2020-12-01,1
2020-12-02,lrc2_6_7,distance,-27.9408,-0.1974,14123.3442,14151.285,SCR,HW,2020-12-01,1
2020-12-02,lc2_8_4,distance,-0.8291,-0.0064,12932.0498,12932.8789,SCR,SCR,2020-01-21,316
2020-12-02,lr1_8_8,distance,-39.2573,-0.1866,20995.9783,21035.2356,SCR,HW,2020-12-01,1
2020-12-02,lr1_8_9,distance,-55.9261,-0.1521,36720.3653,36776.2914,SCR,HW,2020-12-01,1
2020-12-02,lr2_8_3,distance,-28.4696,-0.1074,26472.8704,26501.34,SCR,HW,2020-12-01,1
2020-12-02,lr2_8_4,distance,-1.086,-0.0051,21112.8279,21113.9139,SCR,HW,2020-12-01,1
2020-12-02,lr2_8_5,distance,-192.2871,-0.5492,34819.6892,35011.9763,SCR,SCR,2020-01-21,316
2020-12-02,lr2_8_8,distance,-2.8726,-0.0156,18414.8295,18417.7021,SCR,HW,2020-12-01,1
2020-12-02,lrc1_8_4,distance,-0.4328,-0.0024,18208.5136,18208.9464,SCR,SB,2019-01-30,672
2020-12-02,lrc2_8_4,distance,-2.8975,-0.0197,14724.9107,14727.8082,SCR,SCR,2019-11-28,370
2020-12-02,lr1_10_3,distance,-9.1996,-0.0222,41512.5797,41521.7793,SCR,HW,2020-12-01,1
2020-12-02,lr1_10_4,distance,-10.3858,-0.0336,30914.6509,30925.0367,SCR,SCR,2020-01-21,316
2020-12-02,lr1_10_5,distance,-514.3489,-0.8588,59380.0934,59894.4423,SCR,WM,2019-11-28,370
2020-12-02,lr1_10_7,distance,-146.8201,-0.3774,38753.2378,38900.0579,SCR,SCR,2020-03-04,273
2020-12-02,lr2_10_4,distance,-26.6623,-0.1001,26598.056,26624.7183,SCR,HW,2020-12-01,1
2020-12-02,lr2_10_6,distance,-2.7963,-0.006,46268.0772,46270.8735,SCR,SCR,2020-01-21,316
2020-12-02,lr2_10_8,distance,-1.9334,-0.0072,26750.3723,26752.3057,SCR,HW,2020-12-01,1
2020-12-02,lrc2_10_2,distance,-279.8543,-0.7162,38793.3388,39073.1931,SCR,HW,2020-12-01,1
2020-12-02,lrc2_10_4,distance,-0.7712,-0.0033,23256.1191,23256.8903,SCR,SCR,2020-01-21,316
2020-12-01,lr1_4_3,distance,-5.6493,-0.0611,9245.4837,9251.133,HW,SB,2019-01-30,671
2020-12-01,lr1_4_6,distance,-441.6352,-3.7504,11334.1112,11775.7464,HW,CAINIAO,2020-03-13,263
2020-12-01,lr2_4_8,distance,-5.7117,-0.1084,5265.3374,5271.0491,HW,MFS,2020-08-26,97
2020-12-01,lrc1_6_5,distance,-105.6879,-0.6015,17463.9352,17569.6231,HW,CAINIAO,2020-04-15,230
2020-12-01,lrc1_6_6,distance,-11.4664,-0.0602,19025.3635,19036.8299,HW,CAINIAO,2020-03-13,263
2020-12-01,lrc1_6_7,distance,-20.1972,-0.1267,15914.8525,15935.0497,HW,SCR,2019-11-06,391
2020-12-01,lrc1_6_9,distance,-19.599,-0.1276,15344.6389,15364.2379,HW,CAINIAO,2020-05-01,214
2020-12-01,lrc2_6_5,distance,-133.7618,-0.9211,14388.8304,14522.5922,HW,SB,2019-01-30,671
2020-12-01,lrc2_6_6,distance,-45.817,-0.3053,14962.0824,15007.8994,HW,SCR,2019-11-06,391
2020-12-01,lrc2_6_7,distance,-74.9484,-0.5268,14151.285,14226.2334,HW,SCR,2020-01-21,315
2020-12-01,lrc2_6_9,distance,-32.7254,-0.1963,16635.4104,16668.1358,HW,SCR,2019-11-06,391
2020-12-01,lc1_8_8,distance,-645.1754,-2.3604,26688.1709,27333.3463,HW,SCR,2020-03-31,245
2020-12-01,lr1_8_3,distance,-4.9528,-0.0169,29225.3625,29230.3153,HW,SCR,2019-11-06,391
